ID	relative_abundance
580026	1.1778494537976594e-05
44742	2.8427276127915706e-05
1197717	0.0003499846793389556
1529	0.0
54005	6.0508774060295276e-05
1219626	0.0
1624	0.00014447272416310747
291645	0.0007270958751538286
715	0.0
28134	8.638109097507935e-07
425254	3.752393313797587e-06
113287	2.321317829141985e-06
1535	0.0014055264800987334
457415	7.165158187597974e-05
508451	6.212813019243518e-07
1262817	0.0007833489436749434
1807751	4.7755313267122305e-05
33968	0.00014947630605146236
1262948	0.0020545850829486742
1262925	0.00013823860951472572
1852370	0.0001817092751092874
341220	0.00017925221702392848
556499	0.0001213312363116841
1744	0.00023606810475601767
1262693	0.00016138115158636834
1807729	4.0001163181086796e-07
1871035	0.00017474337437920067
860	3.70404466539953e-05
29388	0.0
512030	3.1733450512933164e-07
1897015	0.001819259736756493
1261	7.854250324614613e-06
135080	1.3484823200859018e-05
1580	0.0
1307	6.362652406991196e-07
1105029	0.00020778836717532816
256701	1.475264236050489e-06
1777881	7.1928549139682785e-06
33934	1.3666289190706806e-06
840	0.0
1262970	0.0007123391520562221
1338	6.764043904086465e-05
936548	0.0007504306240812601
1262952	0.014896375709920702
47678	0.002780509152437831
1492	3.2061543610496415e-06
1633	0.00010463253456995183
487174	0.005151467746525482
574930	0.00015964461678942413
1262805	0.0008189733366010486
1262840	0.0
1718	6.934267146678018e-07
626930	0.00023480747535076883
1603888	1.4363443612505788e-06
68892	0.0005086038717782168
40545	0.0026830713202531144
626935	0.0004992754397684816
1262987	0.0006685109184850689
1602	0.0
1491	0.0
1501332	3.086858557769482e-06
818	0.008930605875052794
28141	0.0
1583	1.68595894123755e-05
651	0.0
286638	7.96169987637453e-06
79604	4.123134831857415e-07
2751	8.81756087968955e-06
1301100	5.676996063657358e-06
317	0.0
28123	4.1323196797426456e-05
202789	1.2929138914146843e-06
1776379	0.0006713277821422249
492736	2.945686148771342e-06
264463	0.0
1262998	0.002083633757463366
1293	9.64876595463851e-07
376804	8.946453661461967e-06
1871020	0.00019969273580971715
1852384	0.000572080998657636
66851	2.4926543159773725e-06
1263011	0.0004061537350598022
34073	4.77658117017109e-06
40324	1.1721824894098654e-06
1550024	0.0019134572842369993
46228	0.0029693699974175907
1262857	0.0004403438113422948
303	4.4754456373964426e-06
1262954	9.78103757627286e-05
157691	0.0
1262913	5.767123995863524e-05
1263019	0.004996668104070156
28126	6.402040063714311e-07
106588	0.00043554041349743843
671267	3.19303824418305e-05
261299	0.0010844350839544338
1262894	0.0
52226	9.264955148469636e-05
544580	0.0008226816410294999
1366	0.0002665957937265381
301301	0.0024490266365932356
1680	0.006795925815517481
1653435	0.000485205906895466
1328	0.0008325782732916478
1777879	0.0
137591	2.4812527286324418e-05
316	5.397275533414406e-07
1262899	5.54428037649194e-07
1574624	1.600185854871463e-06
1095727	7.458331533740002e-07
1673719	0.0
54062	0.0
1383	6.290294214796208e-05
376427	5.811688993631248e-07
1499683	0.0
1720317	0.0
37636	2.867993283387109e-07
1263023	3.206372634480589e-05
203	0.0
37734	6.468427525972488e-05
72000	6.89873759784113e-07
169435	0.0008388277388292688
1703	6.097843915774681e-05
147802	4.285940806727402e-05
487	3.0405811940414092e-06
1476577	1.2934138832694594e-06
1871031	8.873597260141515e-06
626933	0.0
1737424	0.007142016319572189
1262789	0.0021894709485513744
281920	2.9355938673687138e-05
1871022	0.000369057768088625
51669	2.623257081964283e-06
159	0.0
328814	0.003012934696252198
1852387	9.58954360791726e-05
1965570	0.0
1247	0.0
1855325	0.0
28038	9.754379284027952e-05
88132	0.0
33034	2.751619949111843e-06
39488	0.006387348764253913
1262873	0.00103353930438602
393762	0.0
486	0.0
76122	9.421135917269708e-06
100884	0.0003986604184717901
1034346	0.0003795393685494536
1599	0.0002575747437510904
1987385	4.043628823972495e-06
1261634	0.0
1262810	0.001833748399043985
1723384	3.365634415922845e-06
163202	1.6593431872593773e-05
138595	4.246439939662411e-05
454194	0.0
35519	0.00019646517968905153
168384	0.0
839	4.6570687131613625e-06
79967	2.5492160054864852e-05
481719	0.0
166486	0.0053439848442785026
1288391	3.868426137104073e-05
1262942	0.00016855006416609635
1380376	6.846864922403316e-07
328515	1.877286530781218e-06
701175	9.65266083502596e-07
1310	0.0001130105841816961
1262708	1.3341076139686009e-05
29382	0.0
46506	0.0026460291461279234
451457	0.0
136857	9.302657617985566e-07
549	3.170632809448232e-07
1262911	0.00028782331740238783
626932	0.0012314263663682154
74829	0.0
1333651	6.646731668251497e-07
119858	0.0
1262827	8.006754391818187e-05
228604	2.8506391150042345e-07
310300	0.0
1640685	2.9780873376267e-06
46677	6.073360621466047e-07
1797569	0.0
46256	0.0
1584	0.00018752127602523965
28128	4.841039866862909e-05
1816694	4.6350459420871946e-05
1262865	0.0002352475065048818
1263010	0.0016422761939411047
851	3.5691393309910764e-05
358743	0.0006091714713456557
1056807	1.7456690433792562e-06
69966	4.396193374445378e-06
1262833	0.0006454468513602798
285	0.0
1262689	8.347531566088688e-05
1249	6.154766905407424e-07
363265	0.001215320107611781
1262792	4.5994170993377356e-05
1292	3.3209702645163006e-06
33038	0.002030221638262411
824	1.4155007974786908e-06
1512	0.00026059853242763823
1382	0.00019041054125386593
1852368	0.0
28025	0.0018812092646043569
147709	0.0
1203590	4.230604975815736e-05
59803	1.0341526052240827e-06
59505	1.9849396337725868e-07
1263866	2.890187817311041e-06
55507	0.0
194326	3.6026921417054e-07
1262807	0.0004153046034562224
1262878	0.0007622366393166195
1232428	9.042510999864243e-05
1262924	0.0017486394550098486
817	0.0028455594922122598
1540257	0.0
1745712	0.0
28132	0.0
384638	0.0007292817449614643
1623	0.0011929431482885766
36834	0.00010146367113990587
1110546	9.912282702044998e-05
1502	0.00017636452513385592
225004	3.955871800155982e-05
1224136	0.00013551432937241093
1354	5.009487270185459e-05
1262876	0.000388118372186443
1870985	7.044131737956223e-05
712622	3.0102910425781626e-05
1871023	0.0
671218	0.0
84135	0.0003376536137087188
253239	0.0
1358	0.0016155611103416815
180332	2.1881069461468415e-06
1588754	0.0
313439	2.1053363626731935e-05
28112	0.0
1262837	0.00025882081281722335
1262824	0.0014273524510038796
113107	0.0006395068638846527
178214	0.0
614	2.0083238333152066e-06
1690244	0.0
544645	0.0006900672236565072
1650661	0.002118745795621855
1608996	7.778417477231754e-06
1262700	0.0008886411181665284
1472765	0.0
604330	0.0
67826	2.6076557676242554e-06
1262826	0.0005054212179325762
225196	0.0
580	1.6754952990855906e-06
1262890	0.002074206569398409
1715052	0.0
310298	0.003652415208457851
267212	1.630727957752916e-06
43997	0.0
39482	0.0007636463113498682
33032	5.691529441641686e-07
1720299	0.0
905	0.00043640709608096484
40519	0.0012837193340756357
552398	0.0009597019899752547
1870987	1.0050583303606647e-06
329	4.0236941064170067e-07
2750	2.7862444805786164e-06
1262816	0.0016870405313370966
1262874	9.658544901089138e-06
1262830	8.941354776304195e-06
184870	7.048259686943549e-06
1393034	2.549986192835131e-07
410072	0.007292845398244198
1739394	1.4715950589115587e-06
1150298	0.005335519892309728
187979	0.0021461159436898503
39778	0.00018041312914882402
1870991	0.000771850415456637
52022	5.5473539979540356e-06
1284708	2.68524203701077e-05
1608583	0.0
1262769	8.319624650810507e-07
1896979	0.0007176812525149391
1805478	0.00015300951155396183
481722	1.0974716661559864e-06
55565	0.00017677103262641748
1262867	3.561338349900218e-06
40215	4.47001591752127e-06
35787	0.0
290309	0.0
1871030	0.00026587693030556366
51123	5.6600706430105616e-05
877414	1.8203407355236296e-05
68891	3.004735899111256e-05
1262832	0.004530586209623066
43768	2.8271874012668867e-06
180311	0.0
1681	0.0025855336453743092
61015	6.980079898173213e-07
1262756	0.0005641842134520903
270498	0.00020075762077559434
156456	1.0019377355993595e-06
714	0.0
361101	0.0
341694	0.0001106871488647557
1262748	0.0001327807165853971
338188	0.0010623876988558214
1050843	0.0
1262996	1.0253137581658397e-05
1262889	0.003679076548403027
1629	3.1517002616070836e-05
1965587	2.97654860256173e-05
1805470	0.0
249188	0.00010285003962634351
329854	0.0011687379743590175
262668	0.0
291644	0.0005615613525121935
1364	2.5582806004758196e-06
1871016	4.351228914242321e-05
1897044	0.002314877461793355
1262883	0.0004236423637715151
28117	0.005208507554357554
712469	0.0
1263032	3.514973015584675e-07
735	1.7782369852525034e-05
1262993	3.37619330367415e-05
649756	0.03040035869923045
1262771	0.0006276916909613013
1262838	0.00013388222866826544
1264	0.0
823	0.006527718636024145
1262705	0.002780870440064094
82688	0.0
28135	0.0
1852379	1.0311238327708133e-06
1252	2.7717644366355157e-05
1262804	0.0008797757047749735
61171	0.0008569946243773562
1381	1.9380148763210912e-06
490	0.0
1262782	0.0014717462916502791
1852894	0.0006657150853751387
1907658	1.4122110356577898e-06
83771	0.0041788964463279525
762212	1.2767821154310921e-05
1610	2.4545674464735174e-05
1852375	5.0776223827249036e-05
1262966	0.00010583495740731313
1871014	1.6910385993090268e-06
33033	0.0002827840761464005
116085	0.0020065292452065633
1579343	0.00020661558270013857
146827	4.2972671155661515e-06
555313	0.0
294	5.24090347110258e-06
762209	2.004776208656517e-07
173362	8.176981815602376e-06
1263027	5.495200322582225e-05
638849	0.00018980635407912167
1402	0.0
39441	1.4392418364382892e-05
1465757	7.519787624370142e-06
1871015	2.1147104337802176e-06
1262846	0.0003113756582965991
1805714	0.000395079069835813
1263547	1.0270211882106902e-06
43771	0.0
1262906	0.0002649404467698908
938289	5.895530271086372e-06
97478	0.00022785754103262542
712122	0.000102770368755884
502	0.0
102148	6.941390824045365e-05
28118	0.0026816679265728397
227945	2.6668390990338865e-06
1650663	3.787961804250312e-06
437898	0.0
671266	3.8182493665549453e-05
1852385	9.141966931785692e-06
712411	0.0001775397790131856
69218	0.0
1262761	0.002819125532496428
1967665	5.539309100083205e-07
29391	0.00010936615021904423
545	3.4242910877408683e-06
1262868	0.0021761951857592102
495	2.7228190057640837e-07
658659	0.0001964716161812009
1262933	3.644531483782301e-05
143361	0.0
33012	2.499821095268617e-06
83231	0.0
1852900	0.0005456653209316341
755172	3.486297108390041e-06
1262751	0.0001400071154142689
859	4.190579164044111e-06
1262818	0.0005203092719658888
1348	1.2410441295157056e-05
1379702	8.28423838247656e-06
177972	1.1663524546458087e-05
1505725	0.0
861	8.345628352199887e-05
148814	1.2723915255287736e-05
1262957	0.00035110586458346964
1776382	0.00010327890155133697
33031	3.121629719089583e-05
84112	0.0013920403367081056
1262747	0.00019858385011582954
983706	0.0
1735	0.008654157759442366
1500894	7.96169987637453e-06
712158	1.3383608656486153e-06
28133	0.0
1780377	0.00013127297613828095
1747	7.302059066349525e-05
39485	0.016056180898088284
457396	0.0
1589	1.2554183073492475e-06
1750560	0.00017031156608727206
293371	1.3309481176357205e-06
1262785	0.0009035211240919684
1720300	0.0002499788439330043
1262691	0.0006016409937356906
1841867	0.0006083241362890028
1689	0.000524857377410296
626931	5.06933222934231e-05
282402	0.0
1262797	0.0031535284200967383
181487	3.311205536711742e-05
230143	9.602424892441208e-05
1262995	0.0
1841856	0.0003706647688875914
1263020	0.00039530660208694925
1288	2.8173580079942478e-05
237576	3.0785913539756765e-05
61647	4.523139174284194e-07
1945634	0.0014394329558690758
569	0.00043544381587377336
1262841	0.006075708838263755
1262919	2.257991293261681e-06
368603	0.0
1288121	0.0008000112787232218
1263001	0.0009466785267729327
2756	9.342984708442685e-06
1587	4.4751466224374054e-05
1262813	0.0015593163270221713
33035	0.0005361968125107234
84030	0.00029667708038041887
549685	1.8935369460390718e-05
1658672	0.0
1262989	0.00026263035726942615
712888	0.0001962362248806213
147207	0.00030144254994241666
596085	0.0
712430	0.0
1628856	1.009248564113465e-06
29394	2.2880952997440813e-06
1476973	2.000723978717303e-07
1262881	0.0005496491927213904
59561	0.0
712288	0.0
1078480	1.707956370530909e-05
53419	0.0
292800	0.002362325163815359
290053	2.4489773514392754e-06
1504823	0.004576238394045606
1265	0.0
191610	0.0
1262848	0.0007351113746448118
56946	3.810494828128624e-06
712532	0.0
1303	0.0010601498940895637
481720	2.4230391135724094e-06
562	0.007709408236279259
42817	5.013846315557392e-05
1232447	5.529954727370365e-05
301302	0.005632880135616297
1547	0.0006515443860085509
39490	0.002469889388787206
2317	0.00035580116130730946
