	environment	phylum	abundance
2340	control	Firmicutes	59.88561519159731
2341	control	Actinobacteria	22.178692748382574
2342	control	Bacteroidetes	15.151914589644411
2343	adenoma	Proteobacteria	10.650617657578728
2344	adenoma	Firmicutes	61.47767480758127
2345	adenoma	Bacteroidetes	16.818092137363386
2346	adenoma	Actinobacteria	7.904939395412561
2347	control	Bacteroidetes	17.666855988831028
2348	control	Actinobacteria	0.9590697567846902
2349	control	Firmicutes	78.20472086416689
